Index,Time(s),Pan,L_Energy,R_Energy,L_SpectralCentroid(Hz),L_SpectralRolloff(Hz),L_SpectralFlatness,L_Pitch(Hz),L_PrimaryEnergy,L_SecondaryEnergy,L_GeoMean,L_TotalEnergy,L_SustainMs,R_SpectralCentroid(Hz),R_SpectralRolloff(Hz),R_SpectralFlatness,R_Pitch(Hz),R_PrimaryEnergy,R_SecondaryEnergy,R_GeoMean,R_TotalEnergy,R_SustainMs
1,0.9683673469387755,1.0,0.0,0.0710233673453331,10322.043943842898,15602.958984375,0.13596126437187195,667.4165433904875,55.98197555541992,364.31378173828125,142.81108228626744,420.2957572937012,123.33333333333334,10500.598839206035,15887.197265625,0.10906858742237091,7213.644199697594,111.33013153076172,1131.9656982421875,354.9956197949677,1243.2958297729492,106.62131519274377
2,1.4132879818594104,1.0,0.0,0.06870368868112564,10344.724803891178,15607.265625,0.1585051268339157,660.8774883827507,57.71788024902344,340.35595703125,140.15928213989773,398.07383728027344,134.58049886621316,10543.93881025221,16016.396484375,0.1335982382297516,7191.859315508974,120.3531494140625,1097.405517578125,363.42290822799913,1217.7586669921875,116.98412698412699
3,1.870907029478458,1.0,0.0,0.07170556485652924,10552.018971787877,15702.01171875,0.1706303060054779,6400.984941981665,39.23213195800781,312.7186584472656,110.7638012797245,351.95079040527344,112.67573696145125,10636.938772532661,16016.396484375,0.135543555021286,7382.431612264522,86.8596420288086,975.074951171875,291.0234719228796,1061.9345932006836,102.87981859410431
4,2.3353061224489795,1.0,0.0,0.06895714998245239,10337.194581469472,15314.4140625,0.13430777192115784,168.33500928652316,29.237743377685547,219.82244873046875,80.16927307039701,249.0601921081543,119.52380952380952,10486.301116592233,15973.330078125,0.1333690881729126,7573.0878342904425,63.66251754760742,669.4345703125,206.44100871555187,733.0970878601074,107.91383219954649
5,2.763514739229025,1.0,0.0,0.07086251676082611,10380.93238943304,15633.10546875,0.18171362578868866,6325.36775119718,54.402183532714844,326.2178039550781,133.21771970125954,380.61998748779297,107.41496598639456,10659.455877464792,16158.515625,0.14433005452156067,7475.533507200975,87.97529602050781,1003.0982055664062,297.06541631826616,1091.073501586914,98.54875283446712
6,3.223514739229025,1.0,0.0,0.0673443078994751,10256.732109757158,15206.748046875,0.1455686092376709,6360.293533534967,35.6714973449707,250.64303588867188,94.5558691422069,286.3145332336426,114.94331065759637,10576.031006683252,15895.810546875,0.14548029005527496,7319.829867762998,74.66691589355469,761.374267578125,238.43126556886926,836.0411834716797,92.6984126984127
7,3.6752380952380954,1.0,0.0,0.0746811106801033,10304.371709618343,15348.8671875,0.13635879755020142,658.7658011081511,44.99827194213867,292.58978271484375,114.74334233450674,337.5880546569824,104.48979591836735,10562.081456072203,15977.63671875,0.12518852949142456,7366.952778765922,80.88056945800781,926.5455322265625,273.7508543826983,1007.4261016845703,93.06122448979592
8,4.109705215419501,1.0,0.0,0.06098747253417969,10380.87250817602,15577.119140625,0.15034613013267517,6382.448554493698,51.195335388183594,300.85015869140625,124.10529713027886,352.04549407958984,121.36054421768708,10561.454817434958,16154.208984375,0.14015725255012512,7579.194252271442,101.35308837890625,958.0814208984375,311.6159670596284,1059.4345092773438,110.22675736961452
9,4.578571428571428,1.0,0.0,0.06261464953422546,10400.614446090016,15469.453125,0.13841775059700012,657.363293933202,38.42961883544922,269.552978515625,101.77827970797847,307.9825973510742,110.72562358276645,10677.313345865585,16141.2890625,0.13067086040973663,7698.938740908533,72.75231170654297,767.8241577148438,236.34928063754313,840.5764694213867,99.72789115646259
10,5.027120181405896,1.0,0.0,0.06534929573535919,10421.449061379191,15460.83984375,0.15021827816963196,88.24523958216697,34.2548828125,259.6302490234375,94.30590519621794,293.8851318359375,121.17913832199547,10666.282941609277,16007.783203125,0.1269499510526657,7423.538905443587,66.55490112304688,768.992431640625,226.23044722630326,835.5473327636719,102.31292517006803
