Index,Time(s),Pan,L_Energy,R_Energy,L_SpectralCentroid(Hz),L_SpectralRolloff(Hz),L_SpectralFlatness,L_Pitch(Hz),L_PrimaryEnergy,L_SecondaryEnergy,L_GeoMean,L_TotalEnergy,L_SustainMs,R_SpectralCentroid(Hz),R_SpectralRolloff(Hz),R_SpectralFlatness,R_Pitch(Hz),R_PrimaryEnergy,R_SecondaryEnergy,R_GeoMean,R_TotalEnergy,R_SustainMs
1,112.62839002267573,-0.35220387329671,0.14571046829223633,0.06980506330728531,6971.4146556246415,9935.419921875,0.016077423468232155,151.9148279193853,515.2958984375,2186.5048828125,1061.4598428705854,2701.80078125,199.88662131519274,6913.563089394998,9530.595703125,0.021677430719137192,278.84834714620524,256.85296630859375,1325.674560546875,583.5267288105201,1582.5275268554688,199.79591836734696
2,119.83818594104308,1.0,0.0,0.12535016238689423,6074.092135019121,9220.517578125,0.027089234441518784,3705.9759838359605,183.62698364257812,402.3522644042969,271.81378308379084,585.979248046875,199.79591836734696,6202.216890022964,9763.154296875,0.022938672453165054,623.2367923193959,803.0830078125,1696.679443359375,1167.2936351521348,2499.762451171875,199.9092970521542
3,163.0853514739229,1.0,0.0,0.14534498751163483,6514.225675357284,9461.689453125,0.02363167703151703,2070.7707768879395,172.3202362060547,462.5745849609375,282.33129784596406,634.8948211669922,199.9092970521542,6907.191995453443,10801.0546875,0.028446149080991745,3973.179185149179,646.2015380859375,2193.4892578125,1190.561267710914,2839.6907958984375,199.7278911564626
4,164.91972789115647,-0.43952405142858303,0.19506092369556427,0.07594659924507141,7054.586862880789,10417.763671875,0.023194197565317154,495.861623775893,607.1903686523438,3262.7587890625,1407.521123093552,3869.9491577148438,199.75056689342404,7241.738560458436,10211.044921875,0.025301894173026085,278.9752271354621,231.19766235351562,1322.9754638671875,553.0540973513819,1554.1731262207031,199.8639455782313
5,166.70766439909298,1.0,0.0,0.18615196645259857,6925.109448133876,11451.357421875,0.03917869180440903,102.06209311715244,229.55979919433594,566.9581298828125,360.76418121467475,796.5179290771484,199.75056689342404,6989.66866025521,11167.119140625,0.03693423420190811,173.02365237428285,862.2557983398438,2649.04931640625,1511.343155328891,3511.3051147460938,199.88662131519274
6,168.5536507936508,-0.4746528075734007,0.18539734184741974,0.06604807078838348,7183.257185383227,10478.056640625,0.021983066573739052,279.19826888732575,660.5496826171875,3075.9189453125,1425.4112680494588,3736.4686279296875,199.77324263038548,7417.020068360414,10223.96484375,0.022160861641168594,278.52204859730546,170.2058563232422,1000.822998046875,412.7298576678975,1171.0288543701172,199.77324263038548
7,170.35319727891155,1.0,0.0,0.17693381011486053,7113.036870203626,12054.287109375,0.044402606785297394,4221.390987820002,186.8436737060547,506.55133056640625,307.64575655080546,693.3950042724609,199.8639455782313,7194.233139129258,11718.369140625,0.039488062262535095,4134.861503661119,868.431396484375,2552.513427734375,1488.8528471922543,3420.94482421875,199.75056689342404
8,172.19918367346938,-0.4354026311863035,0.17245551943778992,0.06783318519592285,7155.129909966652,10460.830078125,0.019559992477297783,6408.614278163345,526.1675415039062,3003.40234375,1257.0969840700468,3529.5698852539062,199.79591836734696,7317.738293292813,10232.578125,0.024469060823321342,279.3043810530557,190.38958740234375,1195.69677734375,477.12494809723444,1386.0863647460938,199.81859410430837
9,173.25569160997733,1.0,0.0,0.06140901893377304,10936.296829074814,16515.966796875,0.10713531821966171,6483.568629975784,17.771015167236328,151.97686767578125,51.969060223707885,169.74788284301758,151.97278911564626,10255.769767665317,15081.85546875,0.05354555696249008,7664.224130958044,31.188575744628906,710.7035522460938,148.88193836461198,741.8921279907227,140.453514739229
10,173.96390022675737,1.0,0.0,0.16068342328071594,7266.398894648868,12265.3125,0.05928371101617813,4074.0235047709944,183.22039794921875,463.0390319824219,291.2699704841547,646.2594299316406,199.77324263038548,7307.128917010846,11886.328125,0.052056215703487396,4331.786999365727,663.1341552734375,2446.5166015625,1273.722387311925,3109.6507568359375,199.77324263038548
