Index,Time(s),Pan,L_Strength,R_Strength,L_SpectralCentroid(Hz),L_SpectralRolloff(Hz),L_SpectralFlatness,L_Pitch(Hz),L_PrimaryEnergy,L_SecondaryEnergy,L_GeoMean,L_TotalEnergy,L_SustainMs,R_SpectralCentroid(Hz),R_SpectralRolloff(Hz),R_SpectralFlatness,R_Pitch(Hz),R_PrimaryEnergy,R_SecondaryEnergy,R_GeoMean,R_TotalEnergy,R_SustainMs
1,112.45424036281179,-0.024722281047010734,11.751331329345703,11.184309959411621,7240.8838103264325,12967.294921875,0.12044837325811386,848.3769538578417,10.464134216308594,18.842514038085938,14.041744758654819,29.30664825439453,130.0453514739229,8109.9336870925645,14354.033203125,0.11916812509298325,3298.8915815619134,7.56085729598999,26.057249069213867,14.036208239349902,33.61810636520386,137.18820861678006
2,112.68643990929705,0.228305188984458,1.090964674949646,1.7364864349365234,7259.307524685813,10254.111328125,0.022990157827734947,280.3676355629659,354.8299255371094,2133.056396484375,869.9840471704097,2487.8863220214844,199.8639455782313,7229.7825409309135,10275.64453125,0.025840815156698227,278.9495442503594,208.71328735351562,1133.78662109375,486.4528063912381,1342.4999084472656,199.81859410430837
3,112.82575963718821,-0.07781247235884024,2.5406033992767334,2.173766613006592,6685.910411280597,9233.4375,0.01235133595764637,277.5609813634532,248.92530822753906,1126.970458984375,529.6522150109605,1375.895767211914,197.23356009070295,7043.549211930707,9332.490234375,0.015556111931800842,168.25183742226756,140.918701171875,729.5281982421875,320.6308877269113,870.4468994140625,199.7278911564626
4,113.1740589569161,-0.20286932180436143,1.9561256170272827,1.296306848526001,6036.627916149536,7799.326171875,0.004321254324167967,1604.4508526838888,66.41448211669922,333.9183349609375,148.91948591672335,400.3328170776367,199.79591836734696,6840.2146882662655,8587.44140625,0.014718212187290192,6965.606883466629,52.45247268676758,334.3138427734375,132.42200612769028,386.7663154602051,199.63718820861678
5,113.31337868480726,-0.03309374232673365,1.619023323059082,1.5152969360351562,6940.988011018069,8716.640625,0.01103394478559494,7285.440968905861,45.35163497924805,289.01611328125,114.48734983679311,334.36774826049805,168.4580498866213,6912.209149750774,9009.4921875,0.015719152987003326,7181.143982217907,30.90690803527832,190.35231018066406,76.7020296019379,221.25921821594238,199.9546485260771
6,113.44108843537416,-0.11260471080420195,2.1011645793914795,1.6758544445037842,5925.273612992311,8359.189453125,0.010024728253483772,481.18504421944255,42.00913619995117,93.99637603759766,62.838734577211746,136.00551223754883,199.13832199546485,7067.769122748541,9702.861328125,0.01732585020363331,6796.793089443979,20.489187240600586,133.44464111328125,52.28931284712744,153.93382835388184,199.77324263038548
7,113.54557823129252,1.0,0.0,1.5285024642944336,6454.502808853033,9121.46484375,0.015875276178121567,279.31004476063,35.609256744384766,117.53105163574219,64.69307067325438,153.14030838012695,199.22902494331066,7654.604038438547,10417.763671875,0.031734649091959,7449.8447275870985,19.167339324951172,138.78396606445312,51.57634506651166,157.9513053894043,199.84126984126985
8,113.78938775510204,0.04744362523798184,1.6972603797912598,1.8663300275802612,5971.547785466747,8135.244140625,0.009035451337695122,130.00959482357544,26.6741943359375,78.98509216308594,45.90058494180753,105.65928649902344,145.2607709750567,7052.068769743532,9724.39453125,0.028986025601625443,130.07365226803586,12.362699508666992,48.25303649902344,24.42412312895117,60.61573600769043,199.81859410430837
9,114.0215873015873,-0.08905327744417695,1.6611876487731934,1.3895127773284912,5990.9190763029155,8540.068359375,0.02864505723118782,3606.838700092682,8.35665225982666,22.03893280029297,13.570987347637464,30.39558506011963,199.88662131519274,6397.012888489296,9130.078125,0.040383122861385345,6808.248394435158,8.411012649536133,24.965116500854492,14.490752592113026,33.376129150390625,199.81859410430837
10,114.18412698412699,-1.0,1.6611876487731934,0.0,5855.192228369565,8441.015625,0.010235080495476723,3577.5080464649564,15.130096435546875,33.02753448486328,22.35418935645691,48.157630920410156,179.22902494331066,6891.636408071095,9819.140625,0.03251451998949051,3674.989488289178,6.25791072845459,24.71988296508789,12.43763726812152,30.97779369354248,199.61451247165533
