Index,Time(s),Cluster,Pan,SpectralCentroid(Hz),SpectralRolloff(Hz),SpectralFlatness,Pitch(Hz),TimeDelta(s),PrimaryEnergy,SecondaryEnergy,GeoMean,TotalEnergy,SustainMs
1,112.45424036281179,NOISE,-0.024722281047010734,7663.007174312193,13445.33203125,0.11696825921535492,3303.0489136629267,0,8.06293773651123,17.367671966552734,11.833615579968205,25.430609703063965,134.30839002267575
2,119.6756462585034,NOISE,0.350287898832047,6783.681349176264,12312.685546875,0.07611623406410217,963.2816078352545,7.221405895691618,4.478375434875488,3.9633982181549072,4.213025660830256,8.441773653030396,136.43990929705217
3,162.8995918367347,NOISE,0.10816494413667802,7180.024726611378,12579.697265625,0.1478451043367386,7056.410494944025,43.22394557823128,1.2145862579345703,2.7512946128845215,1.828027523955521,3.965880870819092,68.82086167800453
4,163.85160997732427,NOISE,-0.6582382685447608,7724.0274225435805,11339.384765625,0.03116389736533165,2292.8393492772525,0.9520181405895869,38.387367248535156,264.4974670410156,100.76388938310585,302.8848342895508,195.37414965986395
5,164.80362811791383,NOISE,-0.1645944303241671,8287.39797397548,12584.00390625,0.133589506149292,5998.517406222938,0.9520181405895585,55.78291320800781,221.95985412597656,111.27249111245521,277.7427673339844,147.0294784580499
6,165.70920634920634,NOISE,0.0330353756499907,8176.466706309546,11378.14453125,0.07076970487833023,7339.691173542358,0.9055782312925089,33.76609802246094,260.6265563964844,93.8101372482747,294.3926544189453,191.17913832199545
7,166.6031746031746,C0,0.10397384974706113,7019.079379818746,11231.71875,0.09517711400985718,5578.130358387029,0.8939682539682678,17.473194122314453,57.42643737792969,31.676857294521817,74.89963150024414,140.2721088435374
8,167.5203628117914,NOISE,-0.28022210027712297,7784.992421094869,11472.890625,0.06561347842216492,394.22520588424806,0.9171882086167784,46.393245697021484,284.46319580078125,114.87894034393587,330.85644149780273,199.8639455782313
9,168.43755102040816,NOISE,-0.08128761802521943,6902.733518162087,10857.041015625,0.08719383180141449,829.7073011336988,0.9171882086167784,37.92148971557617,111.15271759033203,64.92362156380464,149.0742073059082,142.42630385487527
10,169.31990929705216,NOISE,-0.24969506691477178,7427.948051438136,10529.736328125,0.05763839930295944,7341.116416231343,0.8823582766439984,14.427933692932129,66.17970275878906,30.90042658640437,80.60763645172119,173.6734693877551
